gRNA,weight_Poisson,weight_Normal,lambda,mu,scale
CROPseq_dCas9_DS_ZFPM2-D,0.5155686,0.48443136,0.1095537543296814,5.441077709197998,1.00867760181427
CROPseq_dCas9_DS_non-targeting_00000,0.5862539,0.41374612,0.07605458796024323,6.045460224151611,0.9469878673553467
CROPseq_dCas9_DS_non-targeting_00001,0.5644042,0.4355958,0.13904789090156555,5.592566013336182,0.9845816493034363
CROPseq_dCas9_DS_non-targeting_00002,0.5636848,0.43631518,0.06909523159265518,5.961475849151611,0.952782928943634
CROPseq_dCas9_DS_non-targeting_00003,0.59720725,0.4027928,0.07690949738025665,5.924251079559326,0.9364443421363831
CROPseq_dCas9_DS_non-targeting_00004,0.6195675,0.3804325,0.08193838596343994,5.84763765335083,1.0786954164505005
CROPseq_dCas9_DS_non-targeting_00005,0.6147266,0.38527346,0.05764017999172211,5.912912368774414,0.9742754101753235
CROPseq_dCas9_DS_non-targeting_00006,0.52278596,0.47721404,0.04520661383867264,5.676143169403076,0.9723411202430725
CROPseq_dCas9_DS_non-targeting_00007,0.5734903,0.4265097,0.053140539675951004,5.977175235748291,0.9571821689605713
CROPseq_dCas9_DS_non-targeting_00008,0.6054336,0.39456642,0.11480822414159775,5.734660625457764,0.9888610243797302
CROPseq_dCas9_DS_non-targeting_00009,0.6798985,0.3201015,0.078423872590065,5.9173583984375,1.1096220016479492
CROPseq_dCas9_DS_non-targeting_00010,0.5456659,0.45433408,0.0817401111125946,5.653636455535889,1.1886805295944214
CROPseq_dCas9_DS_non-targeting_00011,0.559977,0.44002295,0.0715041309595108,5.590769290924072,1.0011223554611206
CROPseq_dCas9_DS_non-targeting_00012,0.5618171,0.43818286,0.08219237625598907,5.623393535614014,1.0799442529678345
CROPseq_dCas9_DS_non-targeting_00013,0.5630954,0.43690455,0.08009889721870422,5.523255348205566,1.1990728378295898
CROPseq_dCas9_DS_non-targeting_00014,0.57929313,0.4207069,0.14190472662448883,5.7553181648254395,1.0870944261550903
CROPseq_dCas9_DS_non-targeting_00015,0.5863591,0.41364095,0.10388737171888351,5.8326005935668945,1.0100675821304321
CROPseq_dCas9_DS_non-targeting_00016,0.61340976,0.38659024,0.0687425285577774,5.873246669769287,1.1625369787216187
CROPseq_dCas9_DS_non-targeting_00017,0.59034926,0.40965074,0.06523704528808594,5.7322564125061035,1.127170205116272
CROPseq_dCas9_DS_non-targeting_00018,0.5521178,0.44788215,0.08579874038696289,5.610358238220215,1.070512294769287
CROPseq_dCas9_DS_non-targeting_00019,0.5685865,0.43141347,0.045154910534620285,5.760592937469482,1.072922945022583
CROPseq_dCas9_DS_non-targeting_00020,0.5644179,0.4355821,0.06358937919139862,5.660572528839111,1.042378306388855
CROPseq_dCas9_DS_non-targeting_00021,0.5510191,0.44898093,0.11512264609336853,5.8831281661987305,1.0215002298355103
CROPseq_dCas9_DS_non-targeting_00022,0.57879144,0.42120856,0.12382785975933075,5.605551719665527,1.1668684482574463
CROPseq_dCas9_DS_non-targeting_00023,0.59766436,0.4023356,0.10993865132331848,5.988813877105713,0.9721516370773315
CROPseq_dCas9_DS_non-targeting_00024,0.5914891,0.40851095,0.0767006129026413,5.833118438720703,1.0362300872802734
CROPseq_dCas9_DS_non-targeting_00025,0.6004418,0.39955816,0.07257886976003647,5.973443031311035,1.0817562341690063
CROPseq_dCas9_DS_non-targeting_00026,0.5620087,0.43799132,0.11561321467161179,5.64041805267334,1.036074161529541
CROPseq_dCas9_DS_non-targeting_00027,0.60919446,0.3908055,0.08448043465614319,5.8477396965026855,1.051459789276123
